"section","x","y"
"Logo","16.864637451999","5.16568782471193"
"Logo","164.2867065733","5.16568782471193"
"Logo","164.2867065733","106.602891348543"
"Logo","16.864637451999","106.602891348543"
"Logo","16.864637451999","5.16568782471193"
"Logo","NA","NA"
"Title","172.401682855207","9.22317596566516"
"Title","483.475773661622","9.22317596566516"
"Title","483.475773661622","102.54540320759"
"Title","172.401682855207","102.54540320759"
"Title","172.401682855207","9.22317596566516"
"Title","NA","NA"
