FIPS_CNTY_CD,gap_read,gap_math
34001,-28.3323476664902,-23.2759976027392
34003,-34.0129099350581,-27.9381304248938
34005,-30.9790912720263,-23.8027334829934
34007,-31.8213961356287,-28.7262922150266
34009,-25.2223071515975,-21.7642023590629
34011,-19.4719581485532,-14.481049126696
34013,-38.4988513952461,-30.5297691300691
34015,-23.0606236097756,-15.8037193199422
34017,-33.2974949850495,-18.7075543301762
34019,-37.2495339972491,-31.0194820131984
34021,-36.9535071683746,-30.103046339321
34023,-39.3629391428572,-32.3628402870357
34025,-38.9246596118688,-34.1189447107933
34027,-32.7914699388064,-28.6754330041872
34029,-28.9066793633906,-24.6511804134056
34031,-31.4491996754248,-23.0854652486797
34033,-24.3642502374107,-13.5076993217959
34035,-35.3463394426686,-28.3438166726708
34037,-32.8014971795369,-25.815150803286
34039,-32.5258208246239,-23.8040267982263
34041,-26.5124470589517,-22.9193598707849
