StateName,StateAb,SexBYrAllAgeY,SexBYrAllAgeOld,SexMYrAllAgeY,SexMYrAllAgeOld,SexFYrAllAgeY,SexFYrAllAgeOld,SexBYr1AgeY,SexBYr1AgeOld,SexMYr1AgeY,SexMYr1AgeOld,SexFYr1AgeY,SexFYr1AgeOld,SexBYr2AgeY,SexBYr2AgeOld,SexMYr2AgeY,SexMYr2AgeOld,SexFYr2AgeY,SexFYr2AgeOld,SexBYr3AgeY,SexBYr3AgeOld,SexMYr3AgeY,SexMYr3AgeOld,SexFYr3AgeY,SexFYr3AgeOld,SexBYr4AgeY,SexBYr4AgeOld,SexMYr4AgeY,SexMYr4AgeOld,SexFYr4AgeY,SexFYr4AgeOld,SexBYr5AgeY,SexBYr5AgeOld,SexMYr5AgeY,SexMYr5AgeOld,SexFYr5AgeY,SexFYr5AgeOld
Alabama,AL,2,50.6,2.2,63.2,1.8,40.9,1.5,59.2,1.8,73.9,1.3,48.8,2,57.8,2.2,75.3,1.7,46,2,52,2.3,64.1,1.6,42.9,2.2,47.4,2.2,60.2,2.2,37.1,2.4,43.2,2.6,53,2.2,35.1
Alaska,AK,1.1,45.3,1.2,51.7,1,39.4,NA,70.5,NA,86.1,NA,58.8,NA,50.6,NA,60.5,NA,42.4,1.4,46.1,NA,55.1,NA,37.2,1.3,41.8,NA,44.3,NA,38.6,1.5,39.5,NA,44,NA,35.5
Arizona,AZ,1.6,46.9,1.8,56,1.4,39.1,1.4,60,1.6,70.9,1.2,51.2,1.5,55.3,1.6,68,1.4,45.2,1.4,46.8,1.6,55.8,1.3,39,1.7,43.2,1.9,51.6,1.5,35.8,1.9,40.8,2.2,48.9,1.6,33.6
Arkansas,AR,2.2,56.3,2.4,69.1,1.9,46.2,1.9,69.7,2.2,85.5,1.7,58.7,2.1,62.3,2.5,77,1.6,51.3,2.2,58.5,2.3,72.9,2.1,47.1,2.3,53.1,2.3,67,2.3,41.6,2.2,46.3,2.7,55.5,1.8,38.8
California,CA,1.5,48.2,1.6,57,1.3,41.1,1.3,61.3,1.5,73.3,1.1,52.5,1.3,56,1.4,66.8,1.2,47.5,1.4,49,1.5,58.5,1.3,41.5,1.6,43.6,1.7,51.2,1.4,37.4,1.8,40.1,1.9,47.5,1.6,34
Colorado,CO,1.3,45.9,1.4,53.6,1.1,39.9,1.1,60.5,1.2,73.4,1.1,51.7,1.2,58.3,1.3,68.9,1,50,1.1,46.5,1.3,53.8,1,40.8,1.4,40.7,1.4,47.6,1.3,35.2,1.5,37.9,1.6,43.9,1.3,32.8
Connecticut,CT,1.3,46.1,1.5,54.6,1.1,39.6,1.3,69.9,1.5,86.8,1.1,58.8,1.2,57.4,1.2,68.5,1.3,49.4,1.2,43.9,1.5,50.8,0.9,38.7,1.4,37.8,1.3,45.3,1.5,31.9,1.4,34.2,1.9,40.7,0.9,29
Delaware,DE,1.6,50.9,1.9,61.9,1.3,42.2,NA,68.3,NA,84.4,NA,57.2,1.7,62.5,1.7,77.3,1.7,50.9,1.7,53.9,2.5,65.1,NA,44.6,1.7,43.9,1.9,56,NA,34.2,1.8,41.2,1.9,48.1,1.7,35.8
Florida,FL,1.6,47.2,1.8,56.6,1.4,39.3,1.6,61.8,1.8,74.8,1.4,51.5,1.5,54.9,1.8,65.7,1.2,46.1,1.6,48.2,1.7,57.9,1.4,40.1,1.7,42.7,1.8,51.4,1.5,35.2,1.8,39,2,46.8,1.6,32
Georgia,GA,1.7,48.7,1.9,60.1,1.5,40.1,1.8,57.9,1.9,70.4,1.7,49.2,1.6,56.3,1.8,71,1.3,46.3,1.6,48.5,1.8,60.7,1.4,39.6,1.8,46.4,2.1,58.4,1.4,37.1,1.8,42.9,2,51.8,1.6,35.4
Hawaii,HI,1.4,45.9,1.4,52.6,1.3,38.9,NA,52.5,NA,58.5,NA,45.4,NA,56.3,NA,66.9,NA,46,1.5,44.4,NA,51.6,NA,37.2,1.5,45.2,NA,50.8,NA,39.9,1.7,40,2.3,45,NA,34.3
Idaho,ID,1.5,46.6,1.6,54.4,1.3,39.9,1.1,58.9,1.6,72.8,NA,47.4,1.2,53,1.4,61,1,46.5,1.6,46.5,1.7,53.6,1.5,40.5,1.3,44.4,1.2,53.2,1.4,36.6,1.9,41.2,NA,47.5,1.4,35.4
Illinois,IL,1.6,55.5,1.8,67.5,1.4,46.6,1.6,75.9,1.8,94.3,1.3,63.6,1.4,66.1,1.6,82.8,1.2,54.6,1.6,55.4,1.7,66.9,1.4,46.9,1.6,48.5,1.9,59.1,1.4,40.3,1.8,43.6,1.9,52.5,1.6,36.4
Indiana,IN,1.7,57.2,1.9,69.3,1.5,48,1.4,76.3,1.5,94,1.3,64.6,1.6,66.7,1.9,83.6,1.3,54.5,1.6,56.6,1.9,69.5,1.4,46.9,1.7,50.5,1.9,60.2,1.5,42.8,1.9,48.1,2.1,57.2,1.7,40.9
Iowa,IA,1.6,56,1.8,66.4,1.4,47.8,1.7,73.6,2,90.8,1.3,61.6,1.2,65.9,1.4,79.4,0.9,56,1.5,57.5,1.6,67.8,1.4,49.6,2,49.4,2.1,57.9,1.9,42.5,1.6,44,1.9,52,1.3,37
Kansas,KS,1.8,53.1,2.1,63.9,1.5,44.3,1.5,67,1.7,82.2,1.3,55.5,1.8,60.8,1.9,72.4,1.6,51.6,1.7,52.6,2.1,64.6,1.2,42.8,2,48,2.5,56.7,1.5,40.9,2,45.6,2,56.1,2,36.8
Kentucky,KY,2.1,61.4,2.4,74.7,1.8,51.3,2.3,75.1,2.6,94.2,1.9,62.3,2.1,71.4,2.2,89.3,1.9,59.4,2.1,62,2.4,74.3,1.7,52.6,2,55,2.1,67.7,2,45,2.1,53.2,2.7,63.9,1.5,44.5
Louisiana,LA,1.8,56.4,2.1,70.5,1.6,45.6,1.9,72.3,2.3,94.9,1.6,56.6,1.8,65.8,2,85.6,1.5,51.8,1.8,56.6,2.1,69.3,1.4,46.3,1.9,51.3,2.1,62.9,1.7,42.1,1.8,46.4,1.9,57.2,1.7,37.8
Maine,ME,1.6,52.7,1.8,61.2,1.4,46,1.6,77.9,1.6,90.9,1.6,68.1,1.3,64.3,1.5,75.2,1.1,55.9,1.7,54.1,1.9,65.7,1.5,45.8,1.7,43.2,1.9,49.6,1.5,38.3,1.9,41.6,2.3,47.5,1.4,36.3
Maryland,MD,1.5,50.6,1.7,60.4,1.3,42.9,1.6,72.3,1.9,87.7,1.3,61.4,1.5,61.9,1.7,75.4,1.2,51.6,1.4,48.6,1.5,61.1,1.3,38.9,1.5,43.6,1.7,51.3,1.3,37.4,1.7,40.1,1.9,46.3,1.6,35.4
Massachusetts,MA,1.4,50.4,1.6,60.6,1.2,43,1.4,76,1.6,96.7,1.2,62.1,1.4,64.4,1.6,77.5,1.1,55.2,1.2,50.8,1.2,61.4,1.2,43.1,1.6,41,1.7,48.4,1.5,35.8,1.6,35,1.9,42.3,1.3,29.1
Michigan,MI,1.6,51,1.8,60.6,1.4,43.5,1.4,66.5,1.6,82.6,1.3,55.5,1.3,60.3,1.6,71.6,1.1,51.8,1.6,51.3,1.8,61.4,1.5,43.5,1.7,44.9,1.9,53.5,1.5,38.1,2,42.2,2.2,49.7,1.7,36.2
Minnesota,MN,1.4,47.1,1.6,55.2,1.2,40.7,1.1,63.7,1.1,75.2,1.1,56,1.3,55.9,1.4,66,1.3,48.6,1.3,48.8,1.6,58.2,1,41.2,1.5,41.7,1.7,47.9,1.3,36.7,1.6,37.4,1.9,44.4,1.3,31.6
Mississippi,MS,2.3,56.7,2.8,70.3,1.9,46.2,1.9,67,2.4,86.2,1.4,54.2,2.2,60.4,2.4,76.1,1.9,48.7,2.2,57.1,3,68.6,1.5,48.1,2.5,54.5,2.9,66.9,2.1,44.8,2.8,50.9,3.1,64.2,2.5,39.9
Missouri,MO,1.8,54.7,2,66.2,1.6,45.8,2,69.9,2.1,84.6,1.8,59.7,1.6,64,1.8,77.8,1.4,53.8,1.8,55.4,2,68.4,1.6,45.1,1.7,49.3,1.9,59.4,1.5,41.3,2.1,44.9,2.4,54.7,1.7,36.9
Montana,MT,1.2,47.9,1.3,56.4,1.1,40.5,1.2,65.1,1.5,82.7,NA,51.4,1.2,57.1,1.1,67.1,1.3,49.2,1,47,NA,52.3,1.1,41.9,1.3,44.8,1.5,53.5,NA,37.1,1.4,38.6,1.6,46.1,1.2,31.9
Nebraska,NE,1.5,57.5,1.9,68.2,1.2,49,1.4,74,NA,87.9,1.4,63.2,1.3,66.8,1.5,82.2,1.1,55.8,1.4,59,1.7,68.6,1.1,50.8,1.7,49.8,2.1,57.7,1.3,43.4,1.8,48.5,2.4,57.9,1.1,40.7
Nevada,NV,1.5,59,1.7,69.7,1.3,49.3,1.2,79,1.3,94.9,1.1,65.3,1.3,69.9,1.3,84.1,1.3,57.6,1.7,59.3,2,71.9,1.3,48.5,1.8,57,2.1,65.7,1.4,48.7,1.5,48,1.7,56.3,1.3,40.3
New Hampshire,NH,1.6,50,1.7,58.7,1.5,43.3,1.8,76.5,2,98.2,1.5,62.5,1.2,63.5,1.4,77.5,1.1,53.5,1.5,50,1.7,56.4,1.3,44.9,1.9,42.1,1.7,46.8,2,38.1,1.9,38,1.9,46,1.8,31.4
New Jersey,NJ,1.4,56.1,1.7,66.9,1.2,48.1,1.2,79.7,1.4,96.8,1,67.9,1.4,68.7,1.7,83.1,1.1,58.6,1.5,56,1.7,68,1.4,47.2,1.5,48.7,1.8,58.3,1.1,41.4,1.6,40.6,1.8,47.4,1.4,35.4
New Mexico,NM,1.6,49,1.8,59.9,1.4,40,1,62.3,NA,75.1,1.3,51.5,1.4,56.5,1.7,68.8,1.1,46.9,1.7,51.1,2,63.4,1.3,41.2,1.7,44.8,1.7,55.3,1.7,35.9,2.1,41.3,2.3,50.7,1.8,33.3
New York,NY,1.5,51.8,1.7,61.7,1.3,44.4,1.4,74.8,1.5,92.8,1.4,62.5,1.4,63.3,1.6,76.5,1.3,53.9,1.5,52.2,1.7,62.3,1.3,44.7,1.5,43.9,1.8,52.4,1.3,37.6,1.7,37.7,2.1,44.1,1.3,32.8
North Carolina,NC,1.7,46.9,1.9,56.5,1.5,39.4,1.5,62.9,1.7,77.2,1.3,52.8,1.5,56.2,1.6,69.3,1.4,46.4,1.7,46.6,1.9,57.5,1.6,38.3,1.9,42.5,2.1,51.5,1.6,35.3,1.8,38.9,2,45.5,1.7,33.4
North Dakota,ND,1.2,52.9,1.6,63.4,0.9,44.6,NA,69,NA,81.8,NA,59.6,0.9,63.5,NA,75.5,NA,55.4,1,56.1,NA,71.6,NA,43.6,1.6,46.5,1.9,54.3,NA,39.8,1.5,40.3,2,49.4,NA,32.6
Ohio,OH,1.7,57.4,1.9,69.2,1.5,48.6,1.6,76.2,1.8,93.2,1.5,64.6,1.5,66.8,1.6,80.6,1.4,57,1.6,57.9,1.8,70.7,1.5,48.2,1.9,51.4,2.1,62.2,1.6,43.2,1.9,46.3,2.1,55.7,1.6,38.9
Oklahoma,OK,2.1,57.3,2.3,70.5,1.8,47,1.9,68.9,1.8,85.4,2,57.6,1.9,62,2.3,77,1.6,50.9,2,56.1,2.3,71.9,1.7,44.1,2.3,54.7,2.6,66.9,2.1,44.6,2.3,51.4,2.7,61.5,1.9,43.2
Oregon,OR,1.6,49.4,1.7,58,1.4,42.4,1.4,64,1.9,78,1,53.3,1.4,58,1.4,67.8,1.3,50.5,1.6,52.1,1.8,61.5,1.5,44.4,1.8,44.5,1.9,52.7,1.6,37.7,1.6,40.5,1.8,46.7,1.3,35.1
Pennsylvania,PA,1.7,56.7,1.8,68.6,1.5,47.7,1.7,78.3,1.8,96.6,1.6,65.6,1.5,67,1.7,83.1,1.3,55.8,1.7,56.7,1.9,68.4,1.5,47.9,1.8,49.9,2,59.6,1.6,42.3,1.8,43.4,2,52.8,1.6,36.1
Rhode Island,RI,1.3,52,1.3,60.9,1.3,45.9,1.5,76.1,1.8,87.6,NA,70.2,1.4,62.8,1,79.1,1.7,51.7,1.5,52,1.6,61.4,1.3,44.8,1.3,44.9,1.4,53.9,1.2,39,1.1,37.6,NA,40.7,NA,35.3
South Carolina,SC,2,47.9,2.3,57.7,1.7,40,1.9,67.7,2.3,84.2,1.6,55.9,2,55.9,2.1,67.5,1.8,47.2,1.9,48.8,2.4,58.7,1.4,40.5,2.2,43.8,2.4,52.2,2,37,2.1,39.4,2.4,48.3,1.7,31.9
South Dakota,SD,1.6,55.7,1.7,66.3,1.4,47,1.4,78,NA,95,NA,65.4,1.3,62.6,1.6,74,NA,52.7,1.4,53.4,1.8,62.9,NA,44.9,2,53.2,2.3,65.5,1.7,43.7,1.7,44.6,1.6,52.7,1.8,38
Tennessee,TN,2,53.9,2.1,65.6,1.8,44.8,1.9,66.2,1.8,82.5,2,55.2,1.8,60.8,2,76.2,1.7,49.7,2,56,2.2,68.3,1.8,46.8,2,49.6,2.2,59.9,1.7,41.4,2.1,46,2.4,55.9,1.7,37.9
Texas,TX,1.7,50.3,1.9,62.6,1.5,40.4,1.6,62.8,1.7,77.8,1.4,51.6,1.6,56.8,1.7,70.6,1.4,46.2,1.6,50.2,1.7,63,1.4,40.1,1.8,46.4,2,58.5,1.5,36.5,1.9,44.4,2.2,55.6,1.7,35.2
Utah,UT,1.5,39.3,1.6,45,1.4,34.5,1.2,54,1.6,63.1,NA,47.7,1.4,46.5,1.7,53.5,1.1,41.1,1.4,39.6,1.5,46.5,1.3,33.7,1.8,35.5,1.8,41.7,1.7,30.1,1.7,33.2,1.6,36.6,1.7,30
Vermont,VT,1.7,52.4,2.1,59.1,1.4,47.1,1.5,72.7,NA,84.1,NA,66.7,1.2,64.5,1.8,75.7,NA,55.6,1.9,51,1.8,55.7,2.1,47.1,1.6,47.9,2.2,52.8,NA,43.6,2.5,41.3,3,47.8,1.9,35.9
Virginia,VA,1.5,49,1.7,58.5,1.4,41.4,1.5,67,1.5,82.2,1.5,56.6,1.2,58.8,1.5,73.1,1,48.2,1.6,48.7,1.8,57,1.4,42.2,1.6,43.2,1.7,52.2,1.5,35.6,1.7,41,1.9,48.4,1.6,34.9
Washington,WA,1.4,47.2,1.6,55.1,1.3,40.6,1.3,64.1,1.5,77.1,1.1,53.7,1.3,55,1.5,64.6,1.2,47.3,1.3,49.4,1.4,56.9,1.1,43,1.5,42.1,1.8,48.8,1.2,36.2,1.8,38.8,1.9,45.9,1.7,32.7
West Virginia,WV,2.1,64.1,2.3,77.3,1.9,53.8,2,79.2,2,97.3,2.1,67,1.9,72.1,2,88.1,1.7,60.4,2.2,62.8,2.4,78.6,2,51,2.1,60.9,2.4,69.5,1.7,53.7,2.4,54.2,2.8,67,1.9,43.4
Wisconsin,WI,1.3,49.3,1.4,59.1,1.1,41.6,1.3,70.4,1.6,89,0.9,57.3,1,58.6,1,71.3,1,49,1.3,49.6,1.5,60,1.1,41.6,1.4,43.6,1.6,51,1.2,37.6,1.5,38,1.6,45.1,1.4,32.3
Wyoming,WY,1.2,51.7,1.3,59.1,1.1,45.1,NA,71.6,NA,84.8,NA,61.2,NA,63.4,NA,66,NA,60.2,1,52.9,NA,65.1,NA,43.1,1.5,43.4,2,52,NA,35.4,1.5,42.8,NA,48.1,NA,37.8
