Invasive Cancer Incidence Rates by County in Kentucky,,,,,
"Cervix Uteri, 2014 - 2018, all women",,,,,
county_name,population,cases,adj_rate,confint_lower,confint_upper
Adair,48654,NA,NA,NA,NA
Allen,52469,7,13.8,5.4,28.7
Anderson,56803,NA,NA,NA,NA
Ballard,20328,NA,NA,NA,NA
Barren,112550,9,7.2,3.2,14.1
Bath,30973,NA,NA,NA,NA
Bell,69308,8,11.3,4.7,22.8
Boone,327435,21,6.7,4.1,10.3
Bourbon,51529,NA,NA,NA,NA
Boyd,120808,19,17.6,10.4,27.7
Boyle,75150,8,9.7,3.8,20.1
Bracken,20755,NA,NA,NA,NA
Breathitt,32717,8,22.8,9.5,46.1
Breckinridge,50000,NA,NA,NA,NA
Bullitt,200104,24,11.1,7,16.7
Butler,31677,NA,NA,NA,NA
Caldwell,32814,5,14.3,4.2,35.1
Calloway,99480,9,11.1,4.8,21.4
Campbell,237090,23,10.2,6.3,15.4
Carlisle,12287,NA,NA,NA,NA
Carroll,26485,5,22.6,7.1,51.8
Carter,69134,8,11.6,4.7,23.3
Casey,40648,7,15.9,6.1,33.7
Christian,169344,19,12.8,7.6,20.2
Clark,91705,11,12.5,6.1,22.5
Clay,48851,9,18.9,8.4,36.2
Clinton,25801,NA,NA,NA,NA
Crittenden,22616,NA,NA,NA,NA
Cumberland,17187,NA,NA,NA,NA
Daviess,256238,25,9.8,6.2,14.7
Edmonson,30258,NA,NA,NA,NA
Elliott,16334,0,0,0,0
Estill,36276,5,14.8,4.4,35.1
Fayette,810428,51,6.7,4.9,8.8
Fleming,36913,NA,NA,NA,NA
Floyd,94352,21,20,12,31.4
Franklin,130166,7,5.2,2,11
Fulton,15622,NA,NA,NA,NA
Gallatin,21498,NA,NA,NA,NA
Garrard,43891,8,17.5,7.2,35.4
Grant,62426,15,25.2,14,41.7
Graves,95293,10,10.4,4.8,19.4
Grayson,65021,10,16.3,7.6,30.3
Green,27990,5,19.9,6.2,46.6
Greenup,92074,15,15.5,8.3,26.2
Hancock,21203,NA,NA,NA,NA
Hardin,271281,26,9.6,6.2,14.2
Harlan,70186,11,16.4,7.9,29.6
Harrison,47480,NA,NA,NA,NA
Hart,47040,6,12.3,4.3,27.5
Henderson,118852,13,8.7,4.4,15.4
Henry,39943,NA,NA,NA,NA
Hickman,11960,0,0,0,0
Hopkins,116989,16,12.6,7,21
Jackson,33575,NA,NA,NA,NA
Jefferson,1980982,202,10.1,8.7,11.6
Jessamine,134413,9,7.2,3.3,13.6
Johnson,58213,9,14.2,6.3,27.5
Kenton,417271,42,10.2,7.3,13.9
Knott,39067,5,12.2,3.7,29.5
Knox,80515,7,8.5,3.2,18
Larue,35630,NA,NA,NA,NA
Laurel,153667,16,10.5,5.9,17.2
Lawrence,39678,9,21.3,9.3,41.6
Lee,16469,NA,NA,NA,NA
Leslie,26288,NA,NA,NA,NA
Letcher,57751,5,7.8,2.3,19.1
Lewis,33927,NA,NA,NA,NA
Lincoln,62189,5,7,2.3,16.9
Livingston,23562,0,0,0,0
Logan,68403,10,16.5,7.7,30.5
Lyon,18375,0,0,0,0
Madison,230813,26,11.3,7.3,16.7
Magoffin,31585,NA,NA,NA,NA
Marion,48498,NA,NA,NA,NA
Marshall,79394,7,8.7,3.3,18.4
Martin,26641,NA,NA,NA,NA
Mason,44209,8,18.6,7.8,37.1
McCracken,170126,13,8.3,4.3,14.3
McCreary,40058,5,12.3,3.9,29
McLean,23497,NA,NA,NA,NA
Meade,70246,NA,NA,NA,NA
Menifee,15774,0,0,0,0
Mercer,54668,6,9.1,2.9,21.5
Metcalfe,25183,NA,NA,NA,NA
Monroe,26661,6,22,7.7,49.1
Montgomery,70897,8,11,4.6,21.9
Morgan,28854,NA,NA,NA,NA
Muhlenberg,76156,9,10.4,4.4,20.6
Nelson,114882,11,7.7,3.8,14.2
Nicholas,17919,NA,NA,NA,NA
Ohio,60338,NA,NA,NA,NA
Oldham,154350,9,6.4,2.8,12.3
Owen,27061,0,0,0,0
Owsley,11368,NA,NA,NA,NA
Pendleton,35833,NA,NA,NA,NA
Perry,68492,11,15.3,7.3,28
Pike,154576,17,10.2,5.8,16.7
Powell,30929,6,18.5,6.4,41.4
Pulaski,164226,21,12.9,7.8,20
Robertson,5346,0,0,0,0
Rockcastle,43179,7,12.1,4.6,26.6
Rowan,62900,NA,NA,NA,NA
Russell,45127,8,17.4,7.1,35.2
Scott,136135,14,10.2,5.5,17.3
Shelby,119859,6,5,1.8,11
Simpson,45841,NA,NA,NA,NA
Spencer,45257,NA,NA,NA,NA
Taylor,65200,7,11.8,4.5,24.6
Todd,31068,NA,NA,NA,NA
Trigg,36356,NA,NA,NA,NA
Trimble,21402,NA,NA,NA,NA
Union,35417,NA,NA,NA,NA
Warren,322932,17,6,3.5,9.7
Washington,30512,0,0,0,0
Wayne,51882,7,8.1,3.2,18.5
Webster,33097,NA,NA,NA,NA
Whitley,91716,11,12.6,6.2,22.7
Wolfe,18469,NA,NA,NA,NA
Woodford,67708,NA,NA,NA,NA
