name,fips,cty_abbr,pop_2021,area_sqmi,pop_density
Butler,15,BU,67889,1428,48
Finney,55,FI,38107,1300,29
Reno,155,RN,61414,1254,49
Sumner,191,SU,22385,1182,19
Greenwood,73,GW,5939,1140,5
Barber,7,BA,4110,1134,4
Cowley,35,CL,34496,1126,31
Ford,57,FO,34159,1099,31
Thomas,193,TH,7877,1075,7
Ness,135,NS,2672,1075,2
Logan,109,LG,2722,1073,3
Gove,63,GO,2755,1072,3
Rawlins,153,RA,2549,1070,2
Sherman,181,SH,5895,1056,6
Cheyenne,23,CN,2633,1020,3
Sedgwick,173,SG,523828,1000,524
Hamilton,75,HM,2484,996,2
Meade,119,ME,4022,978,4
Clark,25,CA,1977,975,2
Marion,115,MN,11712,943,12
Wallace,199,WA,1508,914,2
Jewell,89,JW,2937,909,3
Marshall,117,MS,9979,903,11
McPherson,113,MP,30146,900,33
Ellis,51,EL,28790,900,32
Washington,201,WS,5511,898,6
Graham,65,GH,2400,898,3
Smith,183,SM,3576,896,4
Sheridan,179,SD,2478,896,3
Barton,9,BT,25216,894,28
Decatur,39,DC,2751,894,3
Osborne,141,OB,3498,893,4
Rooks,163,RO,4831,888,5
Trego,195,TR,2793,888,3
Phillips,147,PL,4815,886,5
Russell,167,RS,6703,885,8
Norton,137,NT,5342,878,6
Kearny,93,KE,3891,870,4
Gray,69,GY,5644,869,6
Kingman,95,KM,7392,864,9
Hodgeman,83,HG,1710,860,2
Lyon,111,LY,31998,851,38
Dickinson,41,DK,18459,848,22
Pottawatomie,149,PT,25790,844,31
Harper,77,HP,5331,802,7
Wabaunsee,197,WB,6966,798,9
Stafford,185,SF,4034,792,5
Comanche,33,CM,1670,788,2
Greeley,71,GL,1304,778,2
Chase,17,CS,2598,776,3
Pawnee,145,PN,6225,754,8
Pratt,151,PR,9181,735,12
Morton,129,MT,2692,730,4
Stevens,189,SV,5293,728,7
Rice,159,RC,9390,727,13
Kiowa,97,KW,2392,722,3
Ottawa,143,OT,5838,721,8
Saline,169,SA,53888,720,75
Nemaha,131,NM,10216,719,14
Lincoln,105,LC,2903,719,4
Wichita,203,WH,2082,719,3
Scott,171,SC,5131,718,7
Rush,165,RH,2953,718,4
Lane,101,LE,1565,717,2
Cloud,29,CD,8928,716,12
Ellsworth,53,EW,6336,716,9
Republic,157,RP,4662,716,7
Osage,139,OS,15768,704,22
Mitchell,123,MC,5748,700,8
Morris,127,MR,5356,697,8
Stanton,187,ST,2044,680,3
Jackson,85,JA,13261,657,20
Labette,99,LB,19912,649,31
Elk,49,EK,2441,648,4
Montgomery,125,MG,31156,645,48
Clay,27,CY,8077,644,13
Chautauqua,19,CQ,3395,642,5
Seward,175,SW,21747,640,34
Bourbon,11,BB,14323,637,22
Coffey,31,CF,8338,630,13
Edwards,47,ED,2832,622,5
Riley,161,RL,72208,610,118
Linn,107,LN,9747,599,16
Crawford,37,CR,39110,593,66
Cherokee,21,CK,19130,587,33
Anderson,3,AN,7778,583,13
Miami,121,MI,34593,577,60
Haskell,81,HS,3668,577,6
Grant,67,GT,7324,575,13
Franklin,59,FR,25986,574,45
Wilson,205,WL,8526,574,15
Neosho,133,NO,15784,572,28
Brown,13,BR,9455,571,17
Shawnee,177,SN,178264,550,324
Harvey,79,HV,33817,539,63
Jefferson,87,JF,18411,536,34
Allen,1,AL,12464,503,25
Woodson,207,WO,3102,501,6
Johnson,91,JO,613219,477,1286
Leavenworth,103,LV,82184,463,178
Douglas,45,DG,119363,457,261
Atchison,5,AT,16239,432,38
Doniphan,43,DP,7471,392,19
Geary,61,GE,35934,384,94
Wyandotte,209,WY,167046,151,1106
