Abbr,Name,ID,L2_ID,L2_ID_Name,regID,regName,Xoffset,Yoffset,Scale,Rotate,MapL,MapX,MapY
AL,Alabama,1,2,South,2,South,,,,,,,
AK,Alaska,2,0,Offshore,0,Offshore,36.5,-36,0.3,0,AK,-114.76,26.12
AZ,Arizona,4,4,West,4,West,,,,,,,
AR,Arkansas,5,2,South,2,South,,,,,,,
CA,California,6,4,West,4,West,,,,,,,
CO,Colorado,8,4,West,4,West,,,,,,,
CT,Connecticut,9,1,Northeast,1,Northeast,,,,,,,
DE,Delaware,10,2,South,2,South,,,,,,,
DC,District of Columbia,11,2,South,2,South,3.8,-2.15,4,0,DC,-71.5,35.5
FL,Florida,12,2,South,2,South,,,,,,,
GA,Georgia,13,2,South,2,South,,,,,,,
HI,Hawaii,15,0,Offshore,0,Offshore,52,6,1,0,HI,-101.18,25.63
ID,Idaho,16,4,West,4,West,,,,,,,
IL,Illinois,17,3,Midwest,3,Midwest,,,,,,,
IN,Indiana,18,3,Midwest,3,Midwest,,,,,,,
IA,Iowa,19,3,Midwest,3,Midwest,,,,,,,
KS,Kansas,20,3,Midwest,3,Midwest,,,,,,,
KY,Kentucky,21,2,South,2,South,,,,,,,
LA,Louisiana,22,2,South,2,South,,,,,,,
ME,Maine,23,1,Northeast,1,Northeast,,,,,,,
MD,Maryland,24,2,South,2,South,,,,,,,
MA,Massachusetts,25,1,Northeast,1,Northeast,,,,,,,
MI,Michigan,26,3,Midwest,3,Midwest,,,,,,,
MN,Minnesota,27,3,Midwest,3,Midwest,,,,,,,
MS,Mississippi,28,2,South,2,South,,,,,,,
MO,Missouri,29,3,Midwest,3,Midwest,,,,,,,
MT,Montana,30,4,West,4,West,,,,,,,
NE,Nebraska,31,3,Midwest,3,Midwest,,,,,,,
NV,Nevada,32,4,West,4,West,,,,,,,
NH,New Hampshire,33,1,Northeast,1,Northeast,,,,,,,
NJ,New Jersey,34,1,Northeast,1,Northeast,,,,,,,
NM,New Mexico,35,4,West,4,West,,,,,,,
NY,New York,36,1,Northeast,1,Northeast,,,,,,,
NC,North Carolina,37,2,South,2,South,,,,,,,
ND,North Dakota,38,3,Midwest,3,Midwest,,,,,,,
OH,Ohio,39,3,Midwest,3,Midwest,,,,,,,
OK,Oklahoma,40,2,South,2,South,,,,,,,
OR,Oregon,41,4,West,4,West,,,,,,,
PA,Pennsylvania,42,1,Northeast,1,Northeast,,,,,,,
RI,Rhode Island,44,1,Northeast,1,Northeast,0,-1,1.5,0,,,
SC,South Carolina,45,2,South,2,South,,,,,,,
SD,South Dakota,46,3,Midwest,3,Midwest,,,,,,,
TN,Tennessee,47,2,South,2,South,,,,,,,
TX,Texas,48,2,South,2,South,,,,,,,
UT,Utah,49,4,West,4,West,,,,,,,
VT,Vermont,50,1,Northeast,1,Northeast,,,,,,,
VA,Virginia,51,2,South,2,South,,,,,,,
WA,Washington,53,4,West,4,West,,,,,,,
WV,West Virginia,54,2,South,2,South,,,,,,,
WI,Wisconsin,55,3,Midwest,3,Midwest,,,,,,,
WY,Wyoming,56,4,West,4,West,,,,,,,
