"Name","Abbr","ID","Alias","Alt_Abbr","L2_ID","L2_ID_Name","regID","regName","Key","Xoffset","Yoffset","Scale","Rotate","DoAdj","MapL","MapX","MapY"
"Barren River","BR","2102","Barren","BR",2,"L2_2",2,"RegN2","BR",NA,NA,NA,NA,FALSE,NA,NA,NA
"Big Sandy","BS","2103","Sandy","BS",3,"L2_3",3,"RegN3","BS",NA,NA,NA,NA,FALSE,NA,NA,NA
"Bluegrass","BG","2101","Blueg","BG",1,"L2_1",1,"RegN1","BG",NA,NA,NA,NA,FALSE,NA,NA,NA
"Buffalo Trace","BT","2104","Buffalo","BT",4,"L2_4",4,"RegN4","BT",NA,NA,NA,NA,FALSE,NA,NA,NA
"Cumberland Valley","CV","2105","Valley","CV",5,"L2_5",5,"RegN5","CV",NA,NA,NA,NA,FALSE,NA,NA,NA
"Fivco","FI","2106","Fiv","FI",6,"L2_6",6,"RegN6","FI",NA,NA,NA,NA,FALSE,NA,NA,NA
"Gateway","GA","2107","Gatew","GA",7,"L2_7",7,"RegN7","GA",NA,NA,NA,NA,FALSE,NA,NA,NA
"Green River","GR","2108","Green","GR",8,"L2_8",8,"RegN8","GR",NA,NA,NA,NA,FALSE,NA,NA,NA
"Kentucky River","KR","2110","Kentucky","KR",10,"L2_10",10,"RegN10","KR",NA,NA,NA,NA,FALSE,NA,NA,NA
"Kipda","KI","2109","Kipda","KI",9,"L2_9",9,"RegN9","KI",NA,NA,NA,NA,FALSE,NA,NA,NA
"Lake Cumberland","LC","2111","Lake","LC",11,"L2_11",11,"RegN11","LC",NA,NA,NA,NA,FALSE,NA,NA,NA
"Lincoln Trail","LT","2112","Lincoln","LT",12,"L2_12",12,"RegN12","LT",NA,NA,NA,NA,FALSE,NA,NA,NA
"Northern Kentucky","NK","2113","Northern","NK",13,"L2_13",13,"RegN13","NK",NA,NA,NA,NA,FALSE,NA,NA,NA
"Pennyrile","PE","2114","Penny","PE",14,"L2_14",14,"RegN14","PE",NA,NA,NA,NA,FALSE,NA,NA,NA
"Purchase","PU","2115","Purch","PU",15,"L2_15",15,"RegN15","PU",NA,NA,NA,NA,FALSE,NA,NA,NA
